Age,Gender,Race,Domestic,Country,State,Program,Status,Index
21,Female,Asian,International,China,Beijing,Public Affairs/Community Development (MS),Submitted App,23
22,Male,"White; White,American Indian or Alaska Native",Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit,24
22,Male,Asian,Domestic,United States,New York,Public Affairs/Community Development (MS),Admit-Coming,25
22,Female,White,Domestic,United States,Pennsylvania,Teacher Education (MAT),Admit-Coming,26
27,Male,None Listed,International,United States,New York,Biology: Computational and Integrative (MS),Incomplete,27
22,Female,Black or African American; Hispanic or Latino,Domestic,United States,New York,Teacher Education - Spanish (MAT),Unsubmitted,28
23,Male,White,Domestic,United States,New Jersey,Teacher Education (MAT),Unsubmitted,29
22,Female,White,Domestic,United States,New Jersey,Teacher Education (MAT),Unsubmitted,30
24,Male,Black or African American,International,United States,Indiana,Biology: Computational and Integrative (MS),Incomplete,31
23,Female,White,Domestic,United States,New Jersey,Teacher Education (MAT),Incomplete,32
23,Male,Asian,Domestic,United States,California,Public Affairs/Community Development (MS),Not Coming (Fall),33
24,Male,Black or African American,Domestic,United States,Alabama,Public Affairs/Community Development (PHD),Admit,34
24,Female,Black or African American,International,Nigeria,Ogun,Biology: Computational and Integrative (MS),Incomplete,35
24,Female,White,Domestic,United States,New York,Public Affairs/Community Development (MS),Incomplete,36
25,Male,White,Domestic,United States,New Jersey,Teacher Education (MAT),Unsubmitted,37
25,Male,White,Domestic,United States,Pennsylvania,Teacher Education (MAT),Unsubmitted,38
25,Female,Asian,International,Sri Lanka,None Listed,Biology: Computational and Integrative (MS),Incomplete,39
25,Female,White,Domestic,United States,California,Public Affairs/Community Development (MS),Incomplete,40
27,Female,Black or African American,Domestic,United States,Oregon,Teacher Education - Spanish (MAT),Admit-Coming,41
27,Female,Black or African American,International,Nigeria,Nasarawa,Biology: Computational and Integrative (MS),Incomplete,42
26,Male,Asian,International,India,Maharashtra,Public Affairs/Community Development (PHD),Incomplete,43
26,Female,None Listed,International,United States,New York,Public Affairs/Community Development (PHD),Incomplete,44
26,Female,White,Domestic,United States,Pennsylvania,Public Affairs/Community Development (MS),Unsubmitted,45
28,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit-Coming,46
22,Female,White,Domestic,United States,Maryland,Biology: Computational and Integrative (MS),Incomplete,47
28,Male,White,International,Turkey,Ankara,Public Affairs/Community Development (MS),Incomplete,48
27,Male,White,Domestic,United States,New York,Public Affairs/Community Development (PHD),Incomplete,49
27,Male,Asian,Domestic,United States,Massachusetts,Public Affairs/Community Development (MS),Not Coming (Fall),50
27,Female,White,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Unsubmitted,51
26,Male,Black or African American,International,Nigeria,Oyo,Biology: Computational and Integrative (MS),Incomplete,52
28,Female,White,International,United States,New Jersey,Public Affairs/Community Development (MS),Incomplete,53
28,Female,Asian,International,"Korea, Republic of",None Listed,Public Affairs/Community Development (PHD),Incomplete,54
28,Female,Asian,Domestic,United States,Virginia,Public Affairs/Community Development (MS),Unsubmitted,55
29,Female,White,International,Canada,Ontario,Public Affairs/Community Development (PHD),Admit,56
30,Female,Black or African American,International,United States,Arizona,Public Affairs/Community Development (PHD),Admit,57
30,Male,Asian,International,"Taiwan, Province Of China",New Taipei City,Biology: Computational and Integrative (MS),Incomplete,58
29,Female,Black or African American,International,Nigeria,Ogun,Public Affairs/Community Development (PHD),Incomplete,59
30,Female,White,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Unsubmitted,60
30,Male,White,Domestic,United States,New Jersey,Public Affairs/Community Development (MS),Admit-Coming,61
34,Female,Black or African American,International,Nigeria,Rivers,Biology: Computational and Integrative (MS),Incomplete,62
30,Female,Black or African American,International,United States,New Jersey,Public Affairs/Community Development (MS),Incomplete,63
25,Female,Black or African American,International,Nigeria,Kaduna,Biology: Computational and Integrative (MS),Incomplete,64
32,Male,None Listed,International,Turkey,Istanbul,Public Affairs/Community Development (PHD),Incomplete,65
27,Female,Asian,International,Sri Lanka,Western,Biology: Computational and Integrative (MS),Incomplete,66
32,Female,White,Domestic,United States,New Jersey,Public Affairs/Community Development (MS),Incomplete,67
24,Female,Asian,International,China,None Listed,Biology: Computational and Integrative (MS),Incomplete,68
33,Male,Black or African American,International,Nigeria,Kwara,Public Affairs/Community Development (MS),Not Coming (Fall),69
33,Female,Black or African American,International,Nigeria,Benue State,Teacher Education (MAT),Submitted App,70
34,Female,Black or African American,Domestic,United States,New York,Public Affairs/Community Development (MS),Admit-Coming,71
26,Female,Asian,International,Sri Lanka,Central,Biology: Computational and Integrative (MS),Incomplete,72
34,Male,White,Domestic,United States,Massachusetts,Public Affairs/Community Development (MS),Not Coming (Fall),73
36,Female,Black or African American,International,Nigeria,Benue,Public Affairs/Community Development (PHD),Admit-Coming,74
23,Male,Black or African American,International,Ghana,None Listed,Biology: Computational and Integrative (MS),Incomplete,75
35,Male,Asian,International,"Iran, Islamic Republic Of",West azerbaijan,Public Affairs/Community Development (PHD),Not Coming (Fall),76
35,Male,Black or African American,Domestic,United States,Pennsylvania,Public Affairs/Community Development (MS),Submitted App,77
21,Female,Asian,International,United Kingdom,United Kingdom,Biology: Computational and Integrative (MS),Incomplete,78
24,Male,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (MS),Incomplete,79
27,Male,White,International,Egypt,Montazah first district,Biology: Computational and Integrative (MS),Incomplete,80
38,Female,White,International,"Iran, Islamic Republic Of",Tehran,Public Affairs/Community Development (PHD),Incomplete,81
26,Female,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (MS),Incomplete,82
40,Male,Black or African American,International,United Kingdom,Kingston Upon Hull,Public Affairs/Community Development (MS),Not Coming (Fall),83
40,Male,Black or African American,International,United Kingdom,Kingston Upon Hull,Public Affairs/Community Development (MS),Not Coming (Fall),84
30,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (MS),Incomplete,85
41,Female,"Black or African American; White; White,Black or African American",Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit-Coming,86
22,Male,Asian,International,India,West Bengal,Biology: Computational and Integrative (MS),Incomplete,87
41,Male,Black or African American,Domestic,United States,New York,Public Affairs/Community Development (PHD),Not Coming (Fall),88
23,Male,Asian,International,Pakistan,Punjab,Biology: Computational and Integrative (MS),Incomplete,89
42,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Not Coming (Fall),90
26,Female,Asian,International,India,Maharashtra,Biology: Computational and Integrative (MS),Incomplete,91
43,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (MS),Not Coming (Fall),92
25,Female,White,Domestic,United States,South Carolina,Biology: Computational and Integrative (MS),Incomplete,93
28,Male,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (MS),Incomplete,94
26,Male,None Listed,International,India,Haryana,Biology: Computational and Integrative (MS),Admit-Coming,95
46,Male,Asian,International,Bangladesh,None Listed,Public Affairs/Community Development (PHD),Not Coming (Fall),96
46,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Submitted App,97
36,Female,White,International,Saudi Arabia,None Listed,Biology: Computational and Integrative (MS),Not Coming (Fall),98
47,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Unsubmitted,99
38,Female,White,International,Saudi Arabia,Riyadh,Biology: Computational and Integrative (MS),Not Coming (Fall),100
23,Female,Black or African American,International,Ghana,Greater Accra,Biology: Computational and Integrative (MS),Not Coming (Fall),101
49,Female,Asian,International,"Taiwan, Province Of China",None Listed,Public Affairs/Community Development (PHD),Not Coming (Fall),102
24,Female,Asian,International,Nepal,Bagmati,Biology: Computational and Integrative (MS),Not Coming (Fall),103
23,Male,Black or African American,International,Nigeria,Osun,Biology: Computational and Integrative (PHD),Unsubmitted,104
24,Male,White,Domestic,United States,Maryland,Biology: Computational and Integrative (PHD),Unsubmitted,105
52,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (MS),Unsubmitted,106
21,Female,Asian,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Unsubmitted,107
27,Female,Asian,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Unsubmitted,108
55,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Not Coming (Fall),109
21,Female,Black or African American,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Unsubmitted,110
21,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Unsubmitted,111
56,Male,White,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Unsubmitted,112
57,Female,Asian,International,Philippines,None Listed,Public Affairs/Community Development (PHD),Not Coming (Fall),113
23,Male,Asian,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Unsubmitted,114
28,Female,Black or African American,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Unsubmitted,115
26,Male,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Unsubmitted,116
60,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit,117
36,Male,Asian,International,United States,New York,Biology: Computational and Integrative (PHD),Unsubmitted,118
23,Male,Asian,International,Denmark,Region Hovedstaden,Biology: Computational and Integrative (PHD),Unsubmitted,119
26,Female,Asian,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Unsubmitted,120
23,Female,Asian,International,India,West Bengal,Biology: Computational and Integrative (PHD),Unsubmitted,121
33,Male,Asian,International,India,Maharashtra,Biology: Computational and Integrative (PHD),Unsubmitted,122
22,Male,White,Domestic,Egypt,Sohag,Biology: Computational and Integrative (PHD),Unsubmitted,123
24,Female,Asian,Domestic,United States,Maryland,Biology: Computational and Integrative (PHD),Unsubmitted,124
25,Female,Asian,International,United States,Nevada,Biology: Computational and Integrative (PHD),Unsubmitted,125
32,Male,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Submitted App,126
36,Female,White,International,"Iran, Islamic Republic Of",Razavi Khorasan,Biology: Computational and Integrative (PHD),Submitted App,127
25,Male,White,Domestic,United States,Ohio,Biology: Computational and Integrative (PHD),Submitted App,128
23,Male,Asian,International,Bangladesh,Dhaka,Biology: Computational and Integrative (PHD),Submitted App,129
36,Female,Asian,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Submitted App,130
21,Male,Black or African American; Hispanic or Latino,Domestic,Puerto Rico,Puerto Rico,Biology: Computational and Integrative (PHD),Submitted App,131
25,Male,White,International,Canada,Quebec,Biology: Computational and Integrative (PHD),Submitted App,132
28,Female,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Incomplete,133
30,Female,Asian,International,"Iran, Islamic Republic Of",None Listed,Biology: Computational and Integrative (PHD),Incomplete,134
21,Male,None Listed,International,Canada,None Listed,Biology: Computational and Integrative (PHD),Incomplete,135
23,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete,136
24,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete,137
29,Male,Black or African American,International,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete,138
27,Male,White,Domestic,United States,New York,Biology: Computational and Integrative (PHD),Incomplete,139
26,Male,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete,140
26,Female,White,International,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete,141
25,Female,White,International,"Iran, Islamic Republic Of",None Listed,Biology: Computational and Integrative (PHD),Incomplete,142
26,Female,Hispanic or Latino; Other,International,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete,143
33,Female,White,International,"Iran, Islamic Republic Of",Guilan,Biology: Computational and Integrative (PHD),Incomplete,144
22,Male,Asian; Native Hawaiian or Other Pacific Islander,International,United States,North Carolina,Biology: Computational and Integrative (PHD),Incomplete,145
23,Male,Asian,Domestic,China,Jiangsu,Biology: Computational and Integrative (PHD),Incomplete,146
25,Male,White,International,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete,147
25,Female,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete,148
26,Male,None Listed,International,Egypt,None Listed,Biology: Computational and Integrative (PHD),Incomplete,149
21,Male,Asian,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete,150
26,Female,None Listed,International,India,None Listed,Biology: Computational and Integrative (PHD),Incomplete,151
26,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete,152
11,Female,Black or African American; White,Domestic,United States,New York,Biology: Computational and Integrative (PHD),Incomplete,153
30,Male,Asian,International,United States,Alabama,Biology: Computational and Integrative (PHD),Incomplete,154
28,Male,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Incomplete,155
30,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (PHD),Incomplete,156
24,Male,Asian,International,Bangladesh,Rajshahi Division,Biology: Computational and Integrative (PHD),Incomplete,157
25,Female,None Listed,International,Jordan,None Listed,Biology: Computational and Integrative (PHD),Incomplete,158
22,Female,Asian,International,India,Uttar Pradesh,Biology: Computational and Integrative (PHD),Incomplete,159
32,Female,Asian,International,Nepal,None Listed,Biology: Computational and Integrative (PHD),Incomplete,160
28,Male,Other,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete,161
25,Female,Asian,International,Nepal,Lumbini,Biology: Computational and Integrative (PHD),Incomplete,162
27,Female,Black or African American,International,United Kingdom,Lincolnshire,Biology: Computational and Integrative (PHD),Incomplete,163
28,Male,Asian,International,Sri Lanka,Central Province,Biology: Computational and Integrative (PHD),Incomplete,164
25,Male,Black or African American,International,Nigeria,Abia state,Biology: Computational and Integrative (PHD),Incomplete,165
30,Female,Black or African American,International,South Africa,Capetown,Biology: Computational and Integrative (PHD),Incomplete,166
27,Male,Black or African American,International,Nigeria,Oyo,Biology: Computational and Integrative (PHD),Incomplete,167
21,Female,Hispanic or Latino,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete,168
33,Female,White,International,France,None Listed,Biology: Computational and Integrative (PHD),Incomplete,169
22,Male,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete,170
22,Female,White,International,"Iran, Islamic Republic Of",Razavi khorasan,Biology: Computational and Integrative (PHD),Incomplete,171
53,Male,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Admit,172
22,Male,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Not Coming (Fall),173
30,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (PHD),Admit,174
39,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (PHD),Admit,175
26,Male,None Listed,International,Egypt,None Listed,Biology: Computational and Integrative (PHD),Admit,176
41,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (PHD),Not Coming (Fall),177
23,Female,Black or African American,International,Ghana,Ashanti Region,Biology: Computational and Integrative (PHD),Not Coming (Fall),178
24,Male,White,International,"Iran, Islamic Republic Of",Kerman,Biology: Computational and Integrative (PHD),Not Coming (Fall),179
27,Male,Black or African American,International,Nigeria,Ondo State,Biology: Computational and Integrative (PHD),Not Coming (Fall),180
23,Male,Asian,International,United States,Virginia,Biology: Computational and Integrative (PHD),Not Coming (Fall),181
23,Female,Asian,Domestic,United States,New Jersey,Biology (MS),Unsubmitted,182
22,Male,Black or African American,International,Nigeria,Lagos,Biology (MS),Unsubmitted,183
23,Male,Asian,International,India,Karnataka,Biology (MS),Unsubmitted,184
20,Male,Hispanic or Latino,Domestic,United States,New Jersey,Biology (MS),Unsubmitted,185
23,Female,Black or African American,International,Ghana,None Listed,Biology (MS),Unsubmitted,186
23,Female,Asian,International,"Iran, Islamic Republic Of",Tehran,Biology (MS),Submitted App,187
26,Male,White,Domestic,United States,New Jersey,Biology (MS),Submitted App,188
23,Male,None Listed,Domestic,United States,None Listed,Biology (MS),Submitted App,189
22,Female,Asian,Domestic,United States,New Jersey,Biology (MS),Incomplete,190
22,Male,Asian,International,India,None Listed,Biology (MS),Incomplete,191
28,Male,Black or African American,International,Nigeria,Federal Capital Territory,Biology (MS),Incomplete,192
24,Female,Asian,International,United States,Connecticut,Biology (MS),Admit,193
22,Female,White,Domestic,United States,New Jersey,Biology (MS),Admit,194
25,Female,White,Domestic,United States,New York,Biology (MS),Admit,195
33,Female,Asian,International,India,Uttar Pradesh,Biology (MS),Admit-Coming,196
30,Female,None Listed,International,Nigeria,Lagos,Biology (MS),Admit-Coming,197
30,Female,White,International,"Iran, Islamic Republic Of",Tehran,Biology (MS),Admit-Coming,198
21,Female,Asian,International,India,Telangana,Biology (MS),Admit-Coming,199
29,Male,Black or African American,International,Nigeria,Lagos,Biology (MS),Not Coming (Fall),200
30,Male,Asian,International,United States,Delaware,Biology (MS),Not Coming (Fall),201
23,Male,White,Domestic,United States,New Jersey,Biology (MS),Unsubmitted,202
20,Female,Asian,Domestic,United States,New Jersey,Biology (MS),Admit-Coming,203
19,Female,White,International,Burundi,Bujumbura mairie,Business and Science - Computer and Information Sciences (MBS) Camden,Unsubmitted,204
29,Female,Black or African American,International,Burkina Faso,Kadiogo,Business and Science - Computer and Information Sciences (MBS) Camden,Unsubmitted,205
20,Male,Asian,International,United Kingdom,Leicester,Business and Science - Computer and Information Sciences (MBS) Camden,Unsubmitted,206
29,Male,Asian,Domestic,India,Karnataka,Business and Science - Computer and Information Sciences (MBS) Camden,Unsubmitted,207
29,Male,Black or African American,International,Ghana,None Listed,Business and Science - Computer and Information Sciences (MBS) Camden,Unsubmitted,208
24,Female,Asian,International,Qatar,None Listed,Business and Science - Computer and Information Sciences (MBS) Camden,Unsubmitted,209
21,Female,Asian,International,India,Andhra Pradesh,Business and Science - Computer and Information Sciences (MBS) Camden,Unsubmitted,210
35,Male,Asian,International,India,Andhra Pradesh,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App,211
28,Male,White,International,Egypt,None Listed,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App,212
35,Female,Black or African American,International,Ghana,Bono,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App,213
22,Male,Asian,International,United States,New York,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App,214
23,Male,Asian,International,United States,None Listed,Business and Science - Computer and Information Sciences (MBS) Camden,Admit,215
40,Male,Black or African American,International,Ghana,Ashanti Region,Business and Science - Computer and Information Sciences (MBS) Camden,Admit-Coming,216
27,Female,Asian,Domestic,United States,New Jersey,Business and Science - Computer and Information Sciences (MBS) Camden,Not Coming (Fall),217
24,Female,Black or African American,International,Nigeria,Federal Capital Territory,Chemistry (MS),Unsubmitted,218
30,Male,Black or African American,International,Ghana,None Listed,Chemistry (MS),Unsubmitted,219
25,Female,Asian,Domestic,United States,New Jersey,Chemistry (MS),Unsubmitted,220
30,Male,Black or African American,International,Jamaica,None Listed,Chemistry (MS),Submitted App,221
26,Male,Black or African American,International,Nigeria,None Listed,Chemistry (MS),Incomplete,222
21,Female,Asian,International,India,Maharashtra,Chemistry (MS),Incomplete,223
35,Female,Asian,Domestic,United States,Florida,Chemistry (MS),Incomplete,224
25,Female,White,Domestic,United States,South Carolina,Chemistry (MS),Incomplete,225
23,Male,Asian,International,China,Shanxi,Chemistry (MS),Incomplete,226
29,Male,Black or African American,International,Nigeria,Lagos,Chemistry (MS),Incomplete,227
22,Female,Asian,Domestic,United States,Minnesota,Chemistry (MS),Admit,228
20,Male,Black or African American,International,Nigeria,Rivers,Chemistry (MS),Admit-Coming,229
27,Male,None Listed,International,Ghana,Greater Accra,Chemistry (MS),Admit-Coming,230
20,Female,Asian,Domestic,United States,New Jersey,Chemistry (MS),Submitted App,231
21,Male,Asian; Native Hawaiian or Other Pacific Islander,Domestic,United States,California,Chemistry (MS),Submitted App,232
32,Female,White,Domestic,United States,New Jersey,Childhood Studies (MA),Unsubmitted,233
21,Female,White,Domestic,United States,California,Childhood Studies (MA),Unsubmitted,234
21,Female,White,Domestic,United States,Pennsylvania,Childhood Studies (MA),Unsubmitted,235
27,Female,Black or African American,Domestic,United States,New Jersey,Childhood Studies (MA),Unsubmitted,236
22,Female,White,Domestic,United States,New Jersey,Childhood Studies (MA),Unsubmitted,237
17,Female,Black or African American; Hispanic or Latino,Domestic,United States,New Jersey,Childhood Studies (MA),Submitted App,238
30,Female,Black or African American,International,Kenya,None Listed,Childhood Studies (MA),Submitted App,239
45,Female,Hispanic or Latino,Domestic,United States,New Jersey,Childhood Studies (MA),Incomplete,240
24,Male,Asian,Domestic,United States,New Jersey,Childhood Studies (MA),Incomplete,241
22,Female,Asian,International,Canada,Ontario,Childhood Studies (MA),Incomplete,242
21,Female,Black or African American,Domestic,United States,New Jersey,Childhood Studies (MA),Admit,243
23,Female,Black or African American; Hispanic or Latino,Domestic,United States,New Jersey,Childhood Studies (MA),Admit-Coming,244
24,Male,Black or African American,International,Nigeria,Oyo,Childhood Studies (MA),Admit-Coming,245
34,Female,Black or African American,International,Nigeria,Osun,Childhood Studies (MA),Admit-Coming,246
54,Female,White,Domestic,United States,New Jersey,Childhood Studies (PHD),Unsubmitted,247
23,Female,Hispanic or Latino; White,International,Brazil,Paraná,Childhood Studies (PHD),Unsubmitted,248
29,Female,Black or African American,International,Nigeria,Federal Capital Territory,Childhood Studies (PHD),Unsubmitted,249
45,Male,Black or African American,International,Ghana,Bono,Childhood Studies (PHD),Unsubmitted,250
19,Female,Hispanic or Latino,Domestic,United States,New Jersey,Childhood Studies (PHD),Unsubmitted,251
30,Female,Asian,Domestic,United States,New Jersey,Childhood Studies (PHD),Unsubmitted,252
24,Female,Black or African American,Domestic,United States,Virginia,Childhood Studies (PHD),Unsubmitted,253
36,Female,White,Domestic,United States,New Jersey,Childhood Studies (PHD),Unsubmitted,254
56,Male,Black or African American,Domestic,United States,New Jersey,Childhood Studies (PHD),Submitted App,255
24,Female,White,Domestic,United States,Pennsylvania,Childhood Studies (PHD),Submitted App,256
34,Female,Asian,International,"Korea, Republic of",None Listed,Childhood Studies (PHD),Admit,257
32,Female,Asian,International,China,Beijing,Childhood Studies (PHD),Admit,258
24,Female,Asian,International,United States,New York,Childhood Studies (PHD),Admit,259
51,Female,White,Domestic,United States,New Jersey,Childhood Studies (PHD),Admit,260
29,Female,White,International,United States,Illinois,Childhood Studies (PHD),Admit,261
24,Female,White,Domestic,United States,New York,Childhood Studies (PHD),Admit,262
40,Female,White,Domestic,United States,Minnesota,Childhood Studies (PHD),Admit,263
34,Female,Asian; White,Domestic,United States,New Jersey,Childhood Studies (PHD),Admit,264
25,Female,Asian,International,India,West Bengal,Childhood Studies (PHD),Admit,265
29,Male,Asian,International,India,Kerala,Childhood Studies (PHD),Admit,266
48,Female,Black or African American,Domestic,United States,New Jersey,Childhood Studies (PHD),Admit-Coming,267
28,Male,None Listed,International,Nigeria,Oyo,Childhood Studies (PHD),Admit-Coming,268
28,Female,Asian,International,Philippines,Metro Manila,Childhood Studies (PHD),Admit-Coming,269
28,Female,White,Domestic,United States,New York,Childhood Studies (PHD),Admit,270
26,Female,Hispanic or Latino,Domestic,United States,North Carolina,Childhood Studies (PHD),Admit,271
25,Female,Black or African American; White,Domestic,United States,California,Childhood Studies (PHD),Admit,272
30,Female,Black or African American,International,United States,Alabama,Childhood Studies (PHD),Not Coming (Fall),273
38,Female,Asian,International,Saudi Arabia,None Listed,Childhood Studies (PHD),Not Coming (Fall),274
45,Female,Black or African American,International,United States,Michigan,Childhood Studies (PHD),Not Coming (Fall),275
28,Female,Black or African American,International,Ghana,Bono,Childhood Studies (PHD),Not Coming (Fall),276
36,Female,White,Domestic,United States,Maryland,Childhood Studies (PHD),Not Coming (Fall),277
37,Male,Black or African American,International,Norway,None Listed,Childhood Studies (PHD),Not Coming (Fall),278
37,Male,Black or African American,International,Ethiopia,None Listed,Childhood Studies (PHD),Not Coming (Fall),279
25,Female,White,Domestic,United States,Texas,Childhood Studies (PHD),Not Coming (Fall),280
66,Female,Black or African American,Domestic,United States,New Jersey,Childhood Studies (PHD),Not Coming (Fall),281
31,Female,Asian,International,India,Haryana,Childhood Studies (PHD),Not Coming (Fall),282
31,Female,Asian,International,India,None Listed,Childhood Studies (PHD),Not Coming (Fall),283
37,Female,White,International,United States,New York,Childhood Studies (PHD),Not Coming (Fall),284
22,Female,White,Domestic,United States,New Jersey,Childhood Studies (PHD),Incomplete,285
29,Male,Black or African American,International,Nigeria,Kogi state,Computer Science: Scientific Computing (MS),Unsubmitted,286
24,Male,Asian,International,India,Gujarat,Computer Science: Scientific Computing (MS),Unsubmitted,287
22,Male,Black or African American,International,Ghana,Central Region,Computer Science: Scientific Computing (MS),Unsubmitted,288
27,Male,Black or African American,International,Ethiopia,East shewa/ Adama,Computer Science: Scientific Computing (MS),Unsubmitted,289
31,Male,White,International,United States,New Jersey,Computer Science: Scientific Computing (MS),Unsubmitted,290
24,Male,Black or African American,International,Ghana,None Listed,Computer Science: Scientific Computing (MS),Unsubmitted,291
21,Male,Asian,International,India,Rajasthan,Computer Science: Scientific Computing (MS),Unsubmitted,292
27,Male,Black or African American,Domestic,United States,New Jersey,Computer Science: Scientific Computing (MS),Unsubmitted,293
22,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Unsubmitted,294
22,Male,Asian,International,India,Gujarat,Computer Science: Scientific Computing (MS),Unsubmitted,295
28,Male,Black or African American,International,India,Punjab,Computer Science: Scientific Computing (MS),Unsubmitted,296
20,Female,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Unsubmitted,297
