Index,Age (Birthdate),Gender,Race,Domestic or INTL Applicant,Mailing Country,Mailing State/Province,Program Selection: Program Selection Name,Admissions Status
724,21,Male,Asian,Domestic,United States,New Jersey,Data Science (MS),Admit
762,22,Female,Asian,International,United States,New Jersey,Data Science (MS),Admit
771,44,Male,White,Domestic,United States,New Jersey,Data Science (MS),Admit
774,21,Male,White,Domestic,United States,New Jersey,Data Science (MS),Admit
788,22,Male,White,Domestic,United States,New Jersey,Data Science (MS),Admit
716,25,Male,Asian,International,United States,New York,Data Science (MS),Admit
752,24,Female,None Listed,International,United States,New York,Data Science (MS),Admit
776,22,Female,Black or African American,Domestic,United States,New York,Data Science (MS),Admit
779,24,Male,White,Domestic,United States,New York,Data Science (MS),Admit
915,22,Male,None Listed,Domestic,United States,Connecticut,"History (American, Global, Public) (MA)",Admit
910,20,Male,White,Domestic,United States,Florida,"History (American, Global, Public) (MA)",Admit
920,30,Male,White,Domestic,United States,Hawaii,"History (American, Global, Public) (MA)",Admit
919,22,Female,White,Domestic,United States,Maryland,"History (American, Global, Public) (MA)",Admit
909,20,Female,White,Domestic,United States,New Jersey,"History (American, Global, Public) (MA)",Admit
911,22,Female,White,Domestic,United States,New Jersey,"History (American, Global, Public) (MA)",Admit
914,21,Female,Black or African American,Domestic,United States,New Jersey,"History (American, Global, Public) (MA)",Admit
916,25,Male,White,Domestic,United States,New York,"History (American, Global, Public) (MA)",Admit
917,21,Female,Hispanic or Latino; White,Domestic,United States,New York,"History (American, Global, Public) (MA)",Admit
921,28,Female,Black or African American,Domestic,United States,New York,"History (American, Global, Public) (MA)",Admit
918,25,Female,White,Domestic,United States,None Listed,"History (American, Global, Public) (MA)",Admit
908,29,Female,White,Domestic,United States,Ohio,"History (American, Global, Public) (MA)",Admit
912,24,Female,White,Domestic,United States,Pennsylvania,"History (American, Global, Public) (MA)",Admit
913,22,Female,White,Domestic,United States,Pennsylvania,"History (American, Global, Public) (MA)",Admit
907,21,Female,White,Domestic,United States,Virginia,"History (American, Global, Public) (MA)",Admit
934,66,Male,White,Domestic,United States,California,Liberal Studies (MA),Admit
933,31,Female,White,Domestic,United States,Florida,Liberal Studies (MA),Admit
945,29,Female,Asian,International,Bangladesh,Dhaka Division,Mathematical Sciences (MS),Admit
1000,29,Female,Black or African American,Domestic,United States,New Jersey,Prevention Science (PHD),Admit
1126,21,Female,Asian,International,India,Maharashtra,Psychology: Psychological Sciences (MA),Admit
1125,21,Female,White,Domestic,United States,Virginia,Psychology: Psychological Sciences (MA),Admit
1167,25,Female,White,Domestic,United States,Colorado,Public Administration - On Campus (MPA),Admit
1168,25,Female,White,Domestic,United States,New York,Public Administration - On Campus (MPA),Admit
1165,29,Female,White,Domestic,United States,Pennsylvania,Public Administration - On Campus (MPA),Admit
1166,22,Female,White,Domestic,United States,Pennsylvania,Public Administration - On Campus (MPA),Admit
1138,47,Male,Asian,Domestic,United States,New Jersey,"Public Administration, Executive Program (MPA)",Admit
29,29,Female,White,International,Canada,Ontario,Public Affairs/Community Development (PHD),Admit
29,30,Female,Black or African American,International,United States,Arizona,Public Affairs/Community Development (PHD),Admit
60,60,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit
22,22,Male,"White; White,American Indian or Alaska Native",Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit
145,20,Female,Asian,Domestic,United States,New Jersey,Biology (MS),Admit-Coming
141,21,Female,Asian,International,India,Telangana,Biology (MS),Admit-Coming
138,33,Female,Asian,International,India,Uttar Pradesh,Biology (MS),Admit-Coming
140,30,Female,White,International,"Iran, Islamic Republic Of",Tehran,Biology (MS),Admit-Coming
139,30,Female,None Listed,International,Nigeria,Lagos,Biology (MS),Admit-Coming
46,26,Male,None Listed,International,India,Haryana,Biology: Computational and Integrative (MS),Admit-Coming
158,40,Male,Black or African American,International,Ghana,Ashanti Region,Business and Science - Computer and Information Sciences (MBS) Camden,Admit-Coming
172,27,Male,None Listed,International,Ghana,Greater Accra,Chemistry (MS),Admit-Coming
171,20,Male,Black or African American,International,Nigeria,Rivers,Chemistry (MS),Admit-Coming
188,34,Female,Black or African American,International,Nigeria,Osun,Childhood Studies (MA),Admit-Coming
187,24,Male,Black or African American,International,Nigeria,Oyo,Childhood Studies (MA),Admit-Coming
186,23,Female,Black or African American; Hispanic or Latino,Domestic,United States,New Jersey,Childhood Studies (MA),Admit-Coming
210,28,Male,None Listed,International,Nigeria,Oyo,Childhood Studies (PHD),Admit-Coming
211,28,Female,Asian,International,Philippines,Metro Manila,Childhood Studies (PHD),Admit-Coming
209,48,Female,Black or African American,Domestic,United States,New Jersey,Childhood Studies (PHD),Admit-Coming
310,26,Female,Asian,International,India,Bihar,Computer Science: Scientific Computing (MS),Admit-Coming
312,26,Female,Asian,International,India,Karnataka,Computer Science: Scientific Computing (MS),Admit-Coming
309,23,Male,Asian,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Admit-Coming
311,27,Male,Asian,International,India,Telangana,Computer Science: Scientific Computing (MS),Admit-Coming
453,38,Female,White,Domestic,United States,Pennsylvania,Creative Writing (MFA) Camden,Admit-Coming
454,28,Male,White,Domestic,United States,Texas,Creative Writing (MFA) Camden,Admit-Coming
482,24,Female,Black or African American,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming
477,33,Male,White,International,Saudi Arabia,Makkah,Criminal Justice (MA),Admit-Coming
476,25,Male,Asian,International,Saudi Arabia,None Listed,Criminal Justice (MA),Admit-Coming
474,21,Female,White,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming
475,22,Female,Hispanic or Latino,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming
478,33,Male,Black or African American,International,United States,New Jersey,Criminal Justice (MA),Admit-Coming
479,24,Female,White,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming
480,24,Female,White,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming
481,21,Female,Hispanic or Latino,Domestic,United States,New Jersey,Criminal Justice (MA),Admit-Coming
798,21,Female,Asian,International,India,Andhra pradesh,Data Science (MS),Admit-Coming
800,21,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Admit-Coming
807,20,Female,Asian,International,India,Andhra Pradesh,Data Science (MS),Admit-Coming
810,20,Female,Asian,International,India,Andhra Pradesh,Data Science (MS),Admit-Coming
819,22,Female,None Listed,International,India,Andhra Pradesh,Data Science (MS),Admit-Coming
820,21,Male,None Listed,International,India,Andhra Pradesh,Data Science (MS),Admit-Coming
823,22,Male,Asian,International,India,Andhra Pradesh,Data Science (MS),Admit-Coming
794,21,Male,Asian,International,India,Gujarat,Data Science (MS),Admit-Coming
796,21,Male,Asian,International,India,Gujarat,Data Science (MS),Admit-Coming
806,22,Male,Asian,International,India,Gujarat,Data Science (MS),Admit-Coming
809,21,Male,Asian,International,India,Gujarat,Data Science (MS),Admit-Coming
817,23,Female,Asian,International,India,Gujarat,Data Science (MS),Admit-Coming
812,21,Female,Asian,International,India,Chhattisgarh,Data Science (MS),Admit-Coming
808,20,Male,Asian,International,India,Gujarat,Data Science (MS),Admit-Coming
793,23,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit-Coming
804,23,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit-Coming
814,25,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit-Coming
816,24,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit-Coming
818,23,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit-Coming
822,21,Male,Asian,International,India,Maharashtra,Data Science (MS),Admit-Coming
795,20,Male,Asian,International,India,None Listed,Data Science (MS),Admit-Coming
813,21,Male,Asian,International,India,None Listed,Data Science (MS),Admit-Coming
821,22,Male,None Listed,International,India,None Listed,Data Science (MS),Admit-Coming
791,31,Male,Asian,International,India,Odisha,Data Science (MS),Admit-Coming
805,21,Male,Asian,International,India,Rajasthan,Data Science (MS),Admit-Coming
799,21,Male,Asian,International,India,Telangana,Data Science (MS),Admit-Coming
803,20,Male,Asian,International,India,Telangana,Data Science (MS),Admit-Coming
797,23,Male,Asian,International,India,West Bengal,Data Science (MS),Admit-Coming
802,33,Female,Asian; White,International,"Iran, Islamic Republic Of",Tehran,Data Science (MS),Admit-Coming
792,29,Male,Black or African American,International,Kenya,Kenya,Data Science (MS),Admit-Coming
801,22,Male,Asian,International,Nepal,None Listed,Data Science (MS),Admit-Coming
811,25,Male,Black or African American,International,Nigeria,Lagos,Data Science (MS),Admit-Coming
815,26,Male,Asian,Domestic,United States,Kansas,Data Science (MS),Admit-Coming
904,26,Male,Black or African American,International,Kenya,Mombasa,Forensic Science (MS),Admit-Coming
902,25,Female,Black or African American,International,Nigeria,Anambra,Forensic Science (MS),Admit-Coming
903,24,Female,Black or African American,Domestic,United States,Massachusetts,Forensic Science (MS),Admit-Coming
923,22,Female,Black or African American,Domestic,United States,New Jersey,"History (American, Global, Public) (MA)",Admit-Coming
924,36,Male,White,Domestic,United States,New Jersey,"History (American, Global, Public) (MA)",Admit-Coming
922,23,Female,White,Domestic,United States,Pennsylvania,"History (American, Global, Public) (MA)",Admit-Coming
935,37,Female,White,Domestic,United States,New Jersey,Liberal Studies (MA),Admit-Coming
936,30,Female,White,Domestic,United States,New Jersey,Liberal Studies (MA),Admit-Coming
937,61,Female,Black or African American,Domestic,United States,New Jersey,Liberal Studies (MA),Admit-Coming
1002,26,Female,White,International,"Iran, Islamic Republic Of",Tehran,Prevention Science (PHD),Admit-Coming
1001,49,Female,White,Domestic,United States,New Jersey,Prevention Science (PHD),Admit-Coming
1127,22,Female,Asian,International,India,Delhi,Psychology: Psychological Sciences (MA),Admit-Coming
1129,34,Male,Black or African American,International,Nigeria,,Psychology: Psychological Sciences (MA),Admit-Coming
1128,26,Female,White,Domestic,United States,Ohio,Psychology: Psychological Sciences (MA),Admit-Coming
1130,25,Female,Black or African American,International,Zimbabwe,Harare,Psychology: Psychological Sciences (MA),Admit-Coming
1172,27,Female,Black or African American,International,Ghana,None Listed,Public Administration - On Campus (MPA),Admit-Coming
1173,31,Male,Black or African American,International,Ghana,Volta Region,Public Administration - On Campus (MPA),Admit-Coming
1169,50,Male,Black or African American,International,Nigeria,Lagos,Public Administration - On Campus (MPA),Admit-Coming
1174,24,Female,Asian,Domestic,United States,New Jersey,Public Administration - On Campus (MPA),Admit-Coming
1171,28,Male,White,Domestic,United States,New York,Public Administration - On Campus (MPA),Admit-Coming
1170,28,Male,Black or African American,Domestic,United States,Pennsylvania,Public Administration - On Campus (MPA),Admit-Coming
1140,26,Male,Black or African American,Domestic,United States,New Jersey,"Public Administration, Executive Program (MPA)",Admit-Coming
1141,31,Female,White,Domestic,United States,New Jersey,"Public Administration, Executive Program (MPA)",Admit-Coming
1139,52,Male,Black or African American,Domestic,United States,Pennsylvania,"Public Administration, Executive Program (MPA)",Admit-Coming
30,30,Male,White,Domestic,United States,New Jersey,Public Affairs/Community Development (MS),Admit-Coming
34,34,Female,Black or African American,Domestic,United States,New York,Public Affairs/Community Development (MS),Admit-Coming
22,22,Male,Asian,Domestic,United States,New York,Public Affairs/Community Development (MS),Admit-Coming
35,36,Female,Black or African American,International,Nigeria,Benue,Public Affairs/Community Development (PHD),Admit-Coming
27,28,Female,Black or African American,Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit-Coming
41,41,Female,"Black or African American; White; White,Black or African American",Domestic,United States,New Jersey,Public Affairs/Community Development (PHD),Admit-Coming
26,27,Female,Black or African American,Domestic,United States,Oregon,Teacher Education - Spanish (MAT),Admit-Coming
22,22,Female,White,Domestic,United States,Pennsylvania,Teacher Education (MAT),Admit-Coming
824,21,Female,Asian,International,India,Maharashtra,Data Science (MS),Not Coming (Fall)
946,27,Female,White,International,Netherlands,North Holland,Mathematical Sciences (MS),Not Coming (Fall)
938,23,Female,Asian,Domestic,United States,New Jersey,Liberal Studies (MA),Not Coming (Fall)
118,26,Male,None Listed,International,Egypt,None Listed,Biology: Computational and Integrative (PHD),Admit
116,30,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (PHD),Admit
117,39,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (PHD),Admit
214,25,Female,Black or African American; White,Domestic,United States,California,Childhood Studies (PHD),Admit
212,28,Female,White,Domestic,United States,New York,Childhood Studies (PHD),Admit
213,26,Female,Hispanic or Latino,Domestic,United States,North Carolina,Childhood Studies (PHD),Admit
1004,32,Female,White,Domestic,United States,Pennsylvania,Prevention Science (PHD),Admit
24,24,Male,Black or African American,Domestic,United States,Alabama,Public Affairs/Community Development (PHD),Admit
133,22,Male,Asian,International,India,None Listed,Biology (MS),Incomplete
134,28,Male,Black or African American,International,Nigeria,Federal Capital Territory,Biology (MS),Incomplete
132,22,Female,Asian,Domestic,United States,New Jersey,Biology (MS),Incomplete
19,22,Female,Asian,International,Afghanistan,Pennsylvania,Biology: Computational and Integrative (MS),Incomplete
37,24,Male,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (MS),Incomplete
45,28,Male,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (MS),Incomplete
17,25,Male,Asian,International,China,Guangdong,Biology: Computational and Integrative (MS),Incomplete
33,24,Female,Asian,International,China,None Listed,Biology: Computational and Integrative (MS),Incomplete
38,27,Male,White,International,Egypt,Montazah first district,Biology: Computational and Integrative (MS),Incomplete
35,23,Male,Black or African American,International,Ghana,None Listed,Biology: Computational and Integrative (MS),Incomplete
43,26,Female,Asian,International,India,Maharashtra,Biology: Computational and Integrative (MS),Incomplete
15,26,Male,Asian,International,India,Tamil Nadu,Biology: Computational and Integrative (MS),Incomplete
20,24,Female,Asian,International,India,Telangana,Biology: Computational and Integrative (MS),Incomplete
41,22,Male,Asian,International,India,West Bengal,Biology: Computational and Integrative (MS),Incomplete
31,25,Female,Black or African American,International,Nigeria,Kaduna,Biology: Computational and Integrative (MS),Incomplete
39,26,Female,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (MS),Incomplete
40,30,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (MS),Incomplete
26,27,Female,Black or African American,International,Nigeria,Nasarawa,Biology: Computational and Integrative (MS),Incomplete
24,24,Female,Black or African American,International,Nigeria,Ogun,Biology: Computational and Integrative (MS),Incomplete
28,26,Male,Black or African American,International,Nigeria,Oyo,Biology: Computational and Integrative (MS),Incomplete
30,34,Female,Black or African American,International,Nigeria,Rivers,Biology: Computational and Integrative (MS),Incomplete
42,23,Male,Asian,International,Pakistan,Punjab,Biology: Computational and Integrative (MS),Incomplete
34,26,Female,Asian,International,Sri Lanka,Central,Biology: Computational and Integrative (MS),Incomplete
25,25,Female,Asian,International,Sri Lanka,None Listed,Biology: Computational and Integrative (MS),Incomplete
32,27,Female,Asian,International,Sri Lanka,Western,Biology: Computational and Integrative (MS),Incomplete
29,30,Male,Asian,International,"Taiwan, Province Of China",New Taipei City,Biology: Computational and Integrative (MS),Incomplete
36,21,Female,Asian,International,United Kingdom,United Kingdom,Biology: Computational and Integrative (MS),Incomplete
23,24,Male,Black or African American,International,United States,Indiana,Biology: Computational and Integrative (MS),Incomplete
27,22,Female,White,Domestic,United States,Maryland,Biology: Computational and Integrative (MS),Incomplete
18,22,Female,Black or African American,Domestic,United States,New Jersey,Biology: Computational and Integrative (MS),Incomplete
22,27,Male,None Listed,International,United States,New York,Biology: Computational and Integrative (MS),Incomplete
16,21,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (MS),Incomplete
21,21,Female,Asian,International,United States,Pennsylvania,Biology: Computational and Integrative (MS),Incomplete
44,25,Female,White,Domestic,United States,South Carolina,Biology: Computational and Integrative (MS),Incomplete
75,28,Female,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Incomplete
97,28,Male,Asian,International,Bangladesh,None Listed,Biology: Computational and Integrative (PHD),Incomplete
99,24,Male,Asian,International,Bangladesh,Rajshahi Division,Biology: Computational and Integrative (PHD),Incomplete
77,21,Male,None Listed,International,Canada,None Listed,Biology: Computational and Integrative (PHD),Incomplete
88,23,Male,Asian,Domestic,China,Jiangsu,Biology: Computational and Integrative (PHD),Incomplete
91,26,Male,None Listed,International,Egypt,None Listed,Biology: Computational and Integrative (PHD),Incomplete
111,33,Female,White,International,France,None Listed,Biology: Computational and Integrative (PHD),Incomplete
93,26,Female,None Listed,International,India,None Listed,Biology: Computational and Integrative (PHD),Incomplete
101,22,Female,Asian,International,India,Uttar Pradesh,Biology: Computational and Integrative (PHD),Incomplete
86,33,Female,White,International,"Iran, Islamic Republic Of",Guilan,Biology: Computational and Integrative (PHD),Incomplete
76,30,Female,Asian,International,"Iran, Islamic Republic Of",None Listed,Biology: Computational and Integrative (PHD),Incomplete
84,25,Female,White,International,"Iran, Islamic Republic Of",None Listed,Biology: Computational and Integrative (PHD),Incomplete
113,22,Female,White,International,"Iran, Islamic Republic Of",Razavi khorasan,Biology: Computational and Integrative (PHD),Incomplete
100,25,Female,None Listed,International,Jordan,None Listed,Biology: Computational and Integrative (PHD),Incomplete
104,25,Female,Asian,International,Nepal,Lumbini,Biology: Computational and Integrative (PHD),Incomplete
102,32,Female,Asian,International,Nepal,None Listed,Biology: Computational and Integrative (PHD),Incomplete
107,25,Male,Black or African American,International,Nigeria,Abia state,Biology: Computational and Integrative (PHD),Incomplete
98,30,Male,Black or African American,International,Nigeria,Lagos,Biology: Computational and Integrative (PHD),Incomplete
109,27,Male,Black or African American,International,Nigeria,Oyo,Biology: Computational and Integrative (PHD),Incomplete
108,30,Female,Black or African American,International,South Africa,Capetown,Biology: Computational and Integrative (PHD),Incomplete
106,28,Male,Asian,International,Sri Lanka,Central Province,Biology: Computational and Integrative (PHD),Incomplete
105,27,Female,Black or African American,International,United Kingdom,Lincolnshire,Biology: Computational and Integrative (PHD),Incomplete
96,30,Male,Asian,International,United States,Alabama,Biology: Computational and Integrative (PHD),Incomplete
80,29,Male,Black or African American,International,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete
82,26,Male,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete
83,26,Female,White,International,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete
85,26,Female,Hispanic or Latino; Other,International,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete
90,25,Female,White,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete
92,21,Male,Asian,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete
103,28,Male,Other,Domestic,United States,New Jersey,Biology: Computational and Integrative (PHD),Incomplete
81,27,Male,White,Domestic,United States,New York,Biology: Computational and Integrative (PHD),Incomplete
95,11,Female,Black or African American; White,Domestic,United States,New York,Biology: Computational and Integrative (PHD),Incomplete
87,22,Male,Asian; Native Hawaiian or Other Pacific Islander,International,United States,North Carolina,Biology: Computational and Integrative (PHD),Incomplete
78,23,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete
79,24,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete
89,25,Male,White,International,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete
94,26,Female,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete
110,21,Female,Hispanic or Latino,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete
112,22,Male,White,Domestic,United States,Pennsylvania,Biology: Computational and Integrative (PHD),Incomplete
168,23,Male,Asian,International,China,Shanxi,Chemistry (MS),Incomplete
165,21,Female,Asian,International,India,Maharashtra,Chemistry (MS),Incomplete
169,29,Male,Black or African American,International,Nigeria,Lagos,Chemistry (MS),Incomplete
164,26,Male,Black or African American,International,Nigeria,None Listed,Chemistry (MS),Incomplete
166,35,Female,Asian,Domestic,United States,Florida,Chemistry (MS),Incomplete
167,25,Female,White,Domestic,United States,South Carolina,Chemistry (MS),Incomplete
184,22,Female,Asian,International,Canada,Ontario,Childhood Studies (MA),Incomplete
182,45,Female,Hispanic or Latino,Domestic,United States,New Jersey,Childhood Studies (MA),Incomplete
183,24,Male,Asian,Domestic,United States,New Jersey,Childhood Studies (MA),Incomplete
227,22,Female,White,Domestic,United States,New Jersey,Childhood Studies (PHD),Incomplete
296,23,Female,Asian,International,Australia,Victoria,Computer Science: Scientific Computing (MS),Incomplete
298,22,Female,Asian,International,China,Fujian,Computer Science: Scientific Computing (MS),Incomplete
290,20,Female,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Incomplete
291,21,Male,Asian,International,India,Andhra Pradesh,Computer Science: Scientific Computing (MS),Incomplete
292,22,Male,Asian,International,India,Karnataka,Computer Science: Scientific Computing (MS),Incomplete
